0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Output
0.391910278,0.458114737,0.0,0.0,0.0,0.0,6.2899999999999995e-84,0.0,0.015182574,0.142888404,0.037013727,0.03116047,0.042122931,0.21094112,0.037970491,0.066857615,0.119667147,0.119176877,0.052646033,0.201293208,0.093755487,0.111825414,0.057556969,0.046295728,0.491753296,0.024381524,0.001927673,0.060978051,0.131478394,0.030548042,0.030752972,0.272607213,0.052735492,0.046267925,0.094488189,0.087803211,0.014491318,0.013305621,0.431101812,0.394140855,0.3949054621116121
0.427,0.692,0.0,0.0,1.0,0.0,4.6600000000000005e-77,0.0,0.360200515,0.37212673,0.253918809,0.154727144,0.07625267,0.265888073,0.229894052,0.008034635,0.12595556,0.35431777,0.206570944,0.430700425,0.100241444,0.126133408,0.127176423,0.062217444,0.032136669,0.266824415,0.10976003,0.292556807,0.195615472,0.257277646,0.254503526,0.09254504,0.016317397,0.159087152,0.245715609,0.243366359,0.172353855,0.107683003,0.498761424,0.454645754,0.457878151236456
1.0,0.0,1.0,0.0,1.0,1.0,1.25e-76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6040966386237346
1.0,1.0,0.0,0.0,1.0,1.0,1.64e-296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8769432773173874
0.668274156,0.702262849,0.0,0.0,0.0,0.0,9.39e-55,0.0,0.023379498,0.201697735,0.040084317,0.476222995,0.25915933,0.041487894,0.067872915,0.007759434,0.342988266,0.29955233,0.140199807,0.053881573,0.024122917,0.096472056,0.117276469,0.032485362,0.516008406,0.065354969,0.152539415,0.129765809,0.075172645,0.149999729,0.143852231,0.144977509,0.025737647,0.067073147,0.034506716,0.027103974,0.036466493,0.193251229,0.438233197,0.597345815,0.3176470588068463
0.566764401,0.709326351,0.0,0.0,0.0,0.0,4.73e-41,0.0,0.500227487,0.109034989,0.144258405,0.649867617,0.098173437,0.079960756,0.32635641,0.10729932,0.58726564,0.10253644,0.332751721,0.369980352,0.003129992,0.25669591,0.242274192,0.023328511,0.646856558,0.194508817,0.114962189,0.169698219,0.160844404,0.204727532,0.171197186,0.206215483,0.163921123,0.247838282,0.15020843,0.156269218,0.11746336,0.038815792,0.44731206,0.542069642,0.4029936975103469
0.467,0.634,0.0,0.0,1.0,0.0,1.23e-34,0.0,0.235308526,0.249189781,0.222282016,0.169330661,0.312637415,0.140133727,0.409396409,0.237182045,0.117062039,0.021568078,0.148856281,0.184822214,0.240975811,0.092258333,0.375283692,0.268105861,0.019246449,0.170127293,0.277704,0.373856441,0.339518967,0.074269796,0.282282815,0.161567188,0.060870854,0.016584598,0.237795276,0.236715636,0.083317308,0.239174599,0.3533617,0.463082693,0.3726890755581571
0.55,0.646,0.0,0.0,1.0,1.0,5.9300000000000004e-96,0.0,0.007580987,0.370908464,0.027508514,0.333624781,0.021810683,0.08982972,0.147851164,0.046532277,0.260690276,0.070451088,0.425402884,0.180160186,0.236659761,0.29871008,0.358435118,0.0031194,0.134574413,0.094702441,0.19036247,0.26558429,0.051111699,0.049048618,0.12820131,0.241372114,0.145705113,0.265745849,0.110930987,0.111376836,0.120648129,0.221343472,0.347347119,0.557941247,0.3099264705719576
0.605,0.781,0.0,1.0,1.0,1.0,8.03e-25,1.0,0.055066271,0.092834697,0.075003707,0.470702983,0.106636429,0.365567811,0.044979274,0.223684179,0.100879997,0.064061913,0.171612785,0.03118367,0.233503604,0.178681404,0.030326687,0.294063295,0.061059664,0.088168077,0.104881802,0.40195695,0.142592598,0.0521079,0.117984883,0.012603172,0.2394039,0.212627115,0.119962946,0.119120829,0.046211684,0.179428253,0.729275684,0.177624748,0.266228991635177
0.474720584,0.687889166,0.0,0.0,0.0,0.0,1.7699999999999996e-41,0.0,0.230397807,0.05762309,0.470781536,0.268186661,0.256501303,0.31257132,0.103682062,0.436073223,0.027432798,0.251377965,0.112221758,0.245077784,0.089954176,0.06059163,0.148254161,0.188273017,0.079549775,0.15008093,0.429194061,0.002272745,0.202979605,0.471889967,0.385304558,0.697199559,0.358091354,0.15112619,0.24733673,0.244391299,0.553378545,0.05345315,0.515524397,0.463622704,0.9247373949094152
