	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
CMA1	64.5	2.2	73.1	41.3	18.9	90.1	139.4	82.9	70.7	98.3	145.3	42.7	146.0	112.0	3.6	91.1	54.8	69.8	101.4	167.1	71.1	16.7	118.4	46.5	46.5	77.9	63.1	234.0	130.6	52.3	83.1	33.2	137.7	146.7	90.2	354.2	263.8	20.2	320.8	77.6
CNN2	437.2	51.0	10.4	57.7	203.9	204.5	57.0	48.0	303.2	64.9	129.6	51.1	443.1	14.7	13.1	45.5	285.9	2.1	37.7	52.1	179.9	137.3	77.6	37.7	121.5	0.9	175.7	82.0	65.1	11.9	43.1	59.0	89.0	113.9	15.3	35.7	61.9	152.1	87.64473345833031	27.7
CO1A1	37.7	130.6	338.1	97.7	25.3	53.8	64.5	89.2	22.7	65.5	88.7	155.9	15.2	166.0	99.3	97.9	14.6	266.3	66.9	203.4	6.8	18.8	22.1	188.2	26.3	324.9	27.5	88.3	52.8	121.0	99.8	140.8	42.7	125.7	115.0	65.6	21.9	74.1	223.5	115.1
CO1A2	44.5	120.0	284.2	83.1	30.2	60.0	69.8	85.8	22.5	80.2	116.6	141.9	17.0	173.3	103.3	87.5	19.1	490.0	65.9	158.9	8.1	18.3	29.3	145.4	21.8	312.2	30.0	71.0	57.0	103.0	104.9	123.8	37.8	127.3	102.5	64.4	21.5	78.4	199.9	89.7
CO2A1	38.6	115.9	316.8	70.7	36.8	66.2	70.1	54.7	25.1	82.3	90.5	93.3	12.3	247.8	137.7	64.9	13.0	489.3	74.9	194.7	13.6	25.4	41.4	122.8	22.9	366.7	35.6	66.0	51.1	114.8	94.4	98.5	33.5	127.6	81.2	71.9	22.1	75.2	152.9	86.7
CO3	149.5	31.6	24.4	82.3	76.5	147.4	44.6	142.5	115.8	28.1	36.7	108.5	128.2	83.0	21.2	99.2	244.1	49.8	18.4	58.3	549.0	38.7	25.4	20.5	82.2	43.6	116.3	29.7	136.3	62.0	15.5	33.7	203.2	29.6	19.8	137.8	569.3	50.9	33.4	112.9
CO3A1	58.2	104.8	207.2	114.5	48.1	63.6	70.1	101.0	46.4	127.0	111.5	119.1	33.4	126.1	109.2	148.4	27.6	161.2	54.4	159.3	18.4	24.4	28.2	130.6	56.8	208.2	38.7	116.5	82.3	77.9	139.3	135.4	82.2	118.6	151.1	96.0	37.1	91.3	246.8	129.3
CO4A1	35.6	90.7	174.4	19.2	144.4	73.8	107.0	25.4	80.6	115.0	168.4	31.6	176.1	273.0	120.7	17.4	39.1	90.7	41.2	21.1	116.8	63.0	122.4	24.4	68.8	162.0	209.2	39.3	78.5	202.7	127.0	23.4	78.7	161.8	184.1	31.4	59.9	74.6	314.4	12.2
CO4A2	46.2	107.9	185.8	23.3	113.7	70.9	94.5	32.2	70.7	113.2	172.3	40.0	146.1	295.0	132.6	21.0	42.5	86.1	43.8	20.9	108.8	72.0	118.0	26.1	65.6	200.9	223.2	43.5	71.3	226.6	126.1	29.4	75.9	164.1	136.9	37.8	49.5	95.5	254.3	15.6
CO5A1	121.0	172.3	253.3	122.0	68.0	45.5	38.2	95.3	44.7	100.7	115.3	145.7	54.7	112.8	143.5	145.6	55.2	90.6	53.7	143.1	39.4	35.2	40.2	86.3	59.0	220.7	38.8	69.1	116.5	110.0	115.7	159.4	87.9	103.5	93.6	67.3	76.4	150.9	126.6	82.2
CO5A2	97.7	153.7	306.4	76.2	40.6	52.0	57.3	87.5	28.0	126.1	182.5	117.1	26.4	177.7	94.4	108.1	34.0	149.9	57.2	115.2	11.9	24.8	27.2	100.8	30.4	304.0	39.4	79.7	86.6	131.8	107.8	115.6	52.8	138.4	132.4	55.5	25.3	143.3	230.3	74.2
CO5A3	3.1	284.0	357.1	94.1	38.027919021845804	11.5	42.3	118.0	11.8	41.9	130.9	107.8	2.7	163.7	100.9	70.5	2.4	219.9	22.2	150.1	3.0462613360420163	3.9	28.6	23.6	6.1	427.6	108.12758493362743	51.8	68.5	97.7	138.1	161.3	58.5	89.9	253.9	56.5	3.6	52.2	484.1	59.3
CO6	367.9	216.8	77.2	46.5	153.3	43.1	49.6	40.2	70.9	202.5	69.7	46.1	78.8	284.6	64.5	52.3	88.0	57.4	56.9	29.9	180.9	60.1	93.7	51.1	21.2	60.1	45.3	22.9	64.3	129.0	88.7	19.5	60.9	27.4	27.4	23.4	142.2	696.5	28.4	61.0
CO6A1	50.0	28.6	26.6	203.0	28.2	63.3	18.1	557.0	46.5	114.0	41.9	429.6	45.6	24.7	45.8	169.4	23.6	11.4	22.9	106.5	50.1	68.5	21.4	317.8	16.6	16.2	91.2	103.6	32.2	13.8	16.7	118.7	46.1	16.0	51.7	518.1	37.3	30.2	39.4	337.9
CO6A2	54.2	3.8	8.3	189.2	28.5	56.5	12.8	618.7	51.3	144.1	42.2	527.9	44.9	5.6	27.7	191.7	20.1	3.0	8.7	96.1	49.8	73.0	8.5	328.2	9.6	2.9	104.4	66.9	13.5	3.9	8.4	117.7	13.8	7.9	19.3	619.7	19.9	9.6	13.8	373.9
CO6A3	50.8	19.9	24.3	146.3	28.1	58.2	6.8	687.3	46.9	124.4	33.6	409.7	42.4	18.7	29.0	191.7	18.7	4.9	15.8	93.9	51.0	62.3	10.8	404.1	15.8	11.5	97.4	50.0	23.9	11.2	11.2	105.6	38.7	10.8	30.7	553.9	23.3	31.0	19.2	386.3
CO8A1	106.7	33.4	68.4	19.1	235.9	44.5	72.8	28.3	108.4	155.2	140.4	17.6	394.8	129.9	93.5	24.6	173.1	27.9	28.9	32.0	226.5	45.9	87.6	35.7	80.4	60.6	73.1	32.3	186.6	102.7	95.6	82.4	162.9	109.8	150.2	58.8	182.9	116.5	156.8	17.2
CO8A2	113.1	29.0	41.4	22.2	389.3	36.7	31.4	34.9	118.9	129.7	71.0	19.5	336.6	132.9	50.6	27.0	202.6	115.0	11.7	33.4	212.3	18.0	32.7	43.3	57.1	52.6	33.7	51.9	242.9	179.5	38.8	94.8	185.2	102.0	100.7	90.2	214.6	86.6	200.7	15.6
CO9	494.9	163.1	12.5	11.4	494.9	16.9	16.3	2.0	233.8	101.4	7.8	1.8	239.1	94.7	34.7	3.3	132.3	11.3	9.6	1.5	175.3	87.0	19.4	7.6	117.0	19.7	51.3	5.6	229.1	48.1	16.3	6.7	156.2	13.2	14.1	8.4	271.6	649.7	19.3	1.3
COCA1	107.6	46.1	19.4	67.4	118.9	121.7	38.9	66.0	152.2	97.5	67.3	40.8	148.7	107.8	41.7	70.2	68.8	589.1	13.2	45.6	164.2	73.3	40.0	134.1	39.3	17.2	204.2	80.1	71.0	29.0	43.8	165.7	148.3	40.9	137.0	125.8	179.3	133.9	72.6	71.4
COEA1	206.7	29.6	15.6	191.6	299.2	78.9	15.4	104.4	70.8	139.3	30.8	164.1	199.5	61.6	20.3	71.0	142.8	22.0	20.0	78.1	135.1	266.8	9.9	268.9	42.0	25.9	114.2	68.7	61.8	26.7	14.0	109.0	50.5	23.8	24.6	193.8	264.9	60.5	28.9	248.3
COFA1	171.8	95.3	52.6	111.9	27.7	104.5	89.6	148.9	79.6	193.7	166.5	126.2	32.1	106.2	98.3	103.1	52.8	24.9	68.2	122.1	25.5	159.7	72.1	77.8	53.5	53.1	276.8	105.3	40.5	76.7	65.8	86.3	97.7	127.4	73.3	157.1	106.2	120.0	123.7	125.3
COGA1	141.4	124.7	69.9	37.0	251.8	33.3	30.7	49.5	49.2	211.8	107.9	37.4	346.1	201.2	61.0	38.6	230.2	114.1	40.6	37.0	98.8	63.7	44.2	40.0	108.1	59.7	78.1	123.8	193.3	66.0	69.2	109.7	77.5	99.3	61.8	56.3	149.7	140.4	108.6	38.8
COIA1	107.6	85.8	40.3	43.1	159.6	166.8	105.0	40.7	76.6	242.8	178.2	49.5	84.9	230.1	101.3	38.8	63.7	41.8	45.0	35.2	92.0	336.0	88.9	32.2	72.0	81.9	330.6	40.8	48.8	142.7	53.4	61.7	53.4	121.0	115.9	78.6	58.3	109.4	93.9	51.4
COMP	28.9	3.5	24.4138118586194	378.7	23.3	36.3	20.8	572.7	9.2	176.7	19.1	301.3	3.5	48.9	40.4	429.3	57.1	54.6	23.7	58.8	8.1	13.1	2.9	207.7	53.0	25.8	59.7	318.7	10.0	27.3	18.8	320.4	9.6	50.9	12.4	133.8	43.4	4.1	25.3	368.3
CRAC1	89.1	82.6	33.6	54.0	165.4	65.1	46.9	124.8	87.6	153.4	55.5	94.6	92.1	67.6	94.9	105.3	262.2	24.1	61.9	59.9	319.5	23.9	17.0	22.1	73.5	24.2	47.6	14.4	112.5	76.3	52.0	18.2	239.8	57.3	337.6	83.1	248.5	47.5	280.3	84.1
CSPG2	173.1	168.1	38.0	23.6	455.1	44.4	43.6	18.5	246.6	138.3	40.5	15.4	266.1	71.9	16.5	21.5	112.9	10.6	38.3	14.7	86.0	152.1	13.9	16.7	426.1	60.1	144.5	16.3	282.6	55.1	29.5	28.5	62.6	49.3	25.5	21.4	120.1	393.7	35.3	23.1
CTGF	184.5	106.1	36.4	28.2	221.0	83.0	73.7	23.2	227.0	92.6	57.8	30.2	300.4	65.6	63.5	37.2	240.6	28.2	102.9	37.3	140.5	58.8	43.4	30.6	477.0	57.1	97.3	46.3	295.2	53.5	52.1	33.2	109.5	66.1	34.2	14.1	128.4	182.6	19.2	21.2
CYTC	157.6	48.6	72.5	39.9	101.8	57.8	119.3	62.8	241.8	47.9	44.8	58.0	227.4	67.7	41.6	34.5	249.7	116.7	78.0	44.4	224.7	56.5	64.7	35.7	265.0	89.3	107.8	51.8	164.8	28.6	109.2	45.3	210.8	63.4	46.2	54.1	289.2	80.0	57.3	43.0
DAG1	43.8	139.7	118.6	86.9	28.2	90.6	124.8	106.5	51.8	72.3	70.6	101.0	28.5	73.6	113.7	111.0	36.6	145.1	142.1	60.2	30.7	42.7	76.4	105.2	58.8	118.2	27.9	94.9	76.3	46.4	172.5	95.5	99.8	110.6	182.7	252.1	50.1	46.3	407.9	159.5
DEF1	233.9	157.9	104.1	26.4	147.7	95.2	23.7	96.4	362.5	100.4	93.1	39.0	145.3	99.9	34.8	81.1	191.6	31.8	36.4	35.5	228.9	50.8	18.2	107.0	77.6	55.7	73.2	71.3	76.1	103.8	50.0	32.6	251.3	46.1	97.5	68.1	242.5	101.5	70.2	41.1
DERM	61.3	111.7	133.7	98.4	81.5	59.1	87.8	114.2	75.5	88.7	97.2	115.4	64.4	161.5	119.1	98.4	65.6	94.1	66.8	80.0	91.3	27.2	74.3	45.6	143.0	112.8	39.5	89.5	161.9	87.2	118.4	109.0	109.4	97.1	149.3	100.1	133.3	119.9	243.3	73.6
EDIL3	146.8	5.300428074711806	3.6	51.7	234.4	21.4	39.7	69.7	520.9	45.2	37.0	51.5	465.0	5.7	57.1	35.6	146.0	17.318968410659092	1.9	28.1	687.8	41.5	17.6	26.0	34.5	1.5	13.7	60.5	105.3	1.4	10.8	76.9	314.8	8.4	67.1	85.4	378.8	40.9	25.5	40.3
ELN	166.7	234.0	46.9	6.0	127.7	103.9	39.2	5.9	206.9	184.4	39.7	4.5	170.6	135.1	68.9	13.0	169.8	21.6	78.9	24.0	181.8	171.5	48.3	23.5	172.3	168.5	111.9	11.5	144.6	73.6	91.9	18.1	244.8	180.7	37.2	8.0	240.8	134.9	48.3	39.9
EMIL1	187.6	123.3	43.0	84.7	159.7	74.9	85.1	67.0	179.1	119.3	75.9	67.2	108.3	121.3	74.3	62.9	142.8	52.7	75.2	77.8	96.8	151.3	72.2	100.2	127.4	62.5	106.7	117.6	135.1	86.4	67.4	77.2	139.6	81.1	80.7	70.1	175.8	128.2	72.7	68.9
FBLN3	441.2	26.6	1.5	17.4	416.3	13.7	2.2	5.3	211.9	99.0	16.8	4.5	354.6	49.4	12.4	18.2	270.8	2.0	7.5	6.3	288.8	155.4	8.721253907793962	38.1	322.0	11.1	104.3	2.3	286.8	27.4	5.7	13.4	91.3	5.1	6.4	20.9	268.0	348.6	3.7	22.8
FBN1	263.9	109.7	134.5	34.4	135.3	28.9	50.5	17.2	269.4	149.1	150.3	18.7	116.7	207.6	39.8	19.2	195.4	42.3	89.3	22.2	100.7	58.2	19.7	30.7	228.9	74.5	64.7	30.8	109.4	47.5	78.8	10.7	150.0	169.5	170.8	28.0	169.1	147.7	202.5	13.3
FGF2	187.3	85.7	21.4	152.1	352.5	78.7	47.1	112.2	37.9	144.6	46.2	133.0	182.7	23.7	36.9	78.0	143.1	15.1	47.6	70.1	107.8	186.5	53.9	291.1	48.3	43.9	84.8	103.3	113.7	36.9	41.9	87.1	97.4	44.4	27.4	118.0	254.5	43.1	79.7	140.4
FGL2	400.7	48.4	6.6	14.7	438.5	39.6	16.5	8.2	261.9	308.4	76.9	32.69673767916624	349.1	16.0	22.1	7.7	140.9	35.59764611585896	70.7	4.8	403.5	175.1	28.4	3.0	163.4	2.6	17.4	52.1	197.5	13.662558608031347	10.4	6.6	225.1	2.9	50.2	3.7	144.2	191.0	16.1	75.1
FHR1	522.8	118.3	31.0	1.9	270.4	15.7	86.0	17.0	225.1	20.6	22.7	2.5	186.7	147.6	79.3	6.0	328.5	10.0	118.9	35.5	357.2	17.5	56.4	7.4	110.9	20.4	9.9	31.2	133.1	41.9	49.2	13.9	279.6	14.7	49.1	3.1	18.7	468.9	64.8	5.3
FIBA	90.4	84.2	7.5	34.0	46.3	46.2	9.8	196.2	32.9	38.7	37.7	38.1	59.1	129.0	22.2	64.2	24.1	108.4	32.8	45.5	190.0	88.3	9.1	104.7	9.1	90.4	890.1	106.0	25.4	111.4	9.8	25.7	184.5	16.4	679.8	81.3	88.4	17.3	44.0	81.0
FIBB	74.5	65.4	3.9	29.9	31.5	39.2	10.4	172.7	32.3	28.5	35.4	29.7	47.5	94.6	16.2	65.2	23.8	33.4	28.6	47.1	173.9	90.7	10.7	68.9	2.8	72.6	1154.1	117.1	22.4	93.0	3.8	16.3	201.0	22.8	658.7	88.6	83.2	22.6	98.4	88.8
FIBG	103.0	65.2	9.1	39.7	52.3	54.1	15.1	184.9	52.6	29.6	43.4	41.9	66.7	72.7	19.6	61.7	34.0	71.4	38.5	50.1	229.4	113.7	3.7	78.9	12.1	76.4	1024.2	132.7	39.5	49.9	1.7	25.3	215.8	22.2	446.0	108.6	122.1	29.2	37.4	125.7
FINC	139.4	107.7	84.7	117.2	74.6	83.9	97.8	124.9	80.8	130.0	117.8	91.1	101.1	112.3	33.4	114.3	75.2	9.1	60.5	91.0	60.1	271.9	36.1	124.2	77.6	56.9	327.8	116.1	81.5	56.6	73.7	117.9	83.8	50.4	156.0	89.9	73.4	128.0	65.6	105.7
FMOD	218.1	28.3	23.4	108.6	229.4	52.8	82.9	85.3	226.3	35.4	80.2	79.5	140.5	6.9	90.5	78.2	154.2	245.0	46.0	92.4	285.2	22.2	43.9	108.2	127.5	11.1	19.4	148.2	227.2	15.5	53.6	163.6	154.4	27.6	60.3	67.2	175.5	83.2	48.0	53.9
