	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
ANXA2	0.7504957038995372	0.05254461335095835	0.04395241242564441	0.251487111698612	0.6761401189689358	0.38697951090548577	0.10277594183740912	0.25413086582947786	0.46397884996695304	0.32551222736285523	0.1741573033707865	0.17580964970257762	1.0	0.021480502313284862	0.07766027759418373	0.26305353602115	0.6272306675479179	0.13681427627230666	0.13978849966953075	0.3711169861202907	0.790482485128883	0.09649702577660278	0.018506278916060808	0.2015862524785195	0.24256444150693984	0.22273628552544614	0.3433575677461996	0.30667547918043625	0.26074025115664246	0.0	0.025115664243225384	0.24653007270323857	0.3965631196298744	0.28056840713813613	0.03205551883674819	0.374421678783873	0.37144745538664903	0.1817580964970258	0.028420356906807668	0.3357567746199603
ANXA5	0.3307901907356948	0.06957311534968211	0.03342415985467757	0.05449591280653951	0.07574931880108991	0.5983651226158038	0.03451407811080836	0.0586739327883742	0.33787465940054495	0.11444141689373295	0.06067211625794732	0.0	0.3518619436875568	0.016530426884650316	0.12970027247956403	0.04305177111716622	0.13006357856494097	0.07484105358764759	0.04940962761126248	0.08574023614895548	0.44341507720254314	0.01725703905540418	0.1331516802906449	0.18165304268846502	0.1927338782924614	0.0913714804722979	1.0	0.027974568574023615	0.3533151680290645	0.02979109900090826	0.09881925522252498	0.06993642143505904	0.32534059945504085	0.11698455949137149	0.05104450499545868	0.1444141689373297	0.20435967302452315	0.27048138056312443	0.12134423251589466	0.15476839237057222
APOA1	0.378790164429024	0.03258410016593755	0.019610801025795748	0.03560114647759843	0.22145119927590892	0.1303364006637502	0.022476995021873586	0.005883240307738725	0.6664655302458893	0.013878413033640066	0.016442902398551815	0.0	0.3033640066375019	0.014180117664806154	0.03545029416201539	0.05294916276964852	0.3783376074822749	0.1422537335948107	0.014180117664806154	0.02504148438678534	1.0	0.02504148438678534	0.00256448936491175	0.008146025041484385	0.10348468848996832	0.021119324181626188	0.028058530698446223	0.0624528586513803	0.187660280585307	0.04510484235933022	0.01930909639462966	0.03348921405943582	0.4232915975260221	0.006034092623321768	0.02187358575954141	0.02292955196862272	0.5036958817317846	0.2357821692562981	0.05792728918388897	0.02292955196862272
APOA2	0.38450844091360475	0.041906653426017876	0.0464746772591857	0.0814299900695134	0.2826216484607746	0.3473684210526316	0.12989076464746774	0.07944389275074479	0.6198609731876863	0.025620655412115192	0.0673286991062562	0.023435948361469713	0.3189672293942403	0.031380337636544194	0.07567030784508441	0.15431976166832176	0.39960278053624626	0.5787487586891757	0.06673286991062562	0.10327706057596822	1.0	0.0423038728897716	0.0	0.11181727904667328	0.12135054617676265	0.06812313803376364	0.07924528301886792	0.1874875868917577	0.27169811320754716	0.09016881827209533	0.12393247269116188	0.15273088381330685	0.3920556107249255	0.08838133068520357	0.08798411122144985	0.11181727904667328	0.25342601787487584	0.09215491559086395	0.20218470705064548	0.21191658391261173
APOA4	0.7985842985842986	0.1776061776061776	0.0070785070785070806	0.01136851136851137	0.3991848991848992	0.10896610896610896	0.07207207207207207	0.012870012870012871	0.9373659373659374	0.10660660660660662	0.040969540969540974	0.0	0.7252252252252253	0.06113256113256113	0.12912912912912913	0.010939510939510939	0.35757185757185755	0.13492063492063494	0.05705705705705706	0.010939510939510939	0.847919347919348	0.11154011154011154	0.059845559845559844	0.003432003432003431	0.2187902187902188	0.03861003861003861	0.05877305877305877	0.040969540969540974	0.2380952380952381	0.03560703560703561	0.040969540969540974	0.006006006006006008	0.6033891033891035	0.03003003003003003	0.03625053625053625	0.008365508365508367	0.49785499785499787	1.0	0.05233805233805234	0.01951951951951952
APOC1	0.028747870528109034	0.1695059625212947	0.2785349233390119	0.029173764906303235	0.11115843270868825	0.15864565587734242	0.11350085178875638	0.05579216354344122	0.02534071550255537	0.18931005110732535	0.23253833049403747	0.0873083475298126	0.04045996592844975	0.8015332197614992	0.2061328790459966	0.00809199318568995	0.00915672913117547	1.0	0.07261499148211242	0.04045996592844975	0.05792163543441226	0.0547274275979557	0.20826235093696763	0.0	0.06175468483816014	0.45251277683134583	0.28641396933560476	0.06175468483816014	0.10306643952299828	0.35178875638841567	0.14437819420783643	0.04301533219761499	0.06856899488926746	0.3132453151618399	0.2832197614991482	0.07304088586030663	0.07133730834752981	0.19740204429301533	0.3083475298126065	0.040672913117546845
APOC3	0.1397510082412765	0.1204629142556549	0.17885323513940032	0.06014378397334736	0.127652112923023	0.301770997720498	0.007364544976328248	0.1706119586182711	0.23724355602314576	0.004032965106084512	0.06170701866042815	0.0	0.1323864632649483	0.013501665789935122	0.146414167981764	0.21146764860599684	0.15237594248641068	1.0	0.08995265649658077	0.09240750482202349	0.41258986498334216	0.05540943363142207	0.026652638961949852	0.008942661756970012	0.12835349815886374	0.12291776258109767	0.07995791688584956	0.008241276521129229	0.29528318428897077	0.14904436261616694	0.1611432579344205	0.028932140978432407	0.3626161669296862	0.036472032263720845	0.07978257057688937	0.06347536384359109	0.3671751709626513	0.26617569700157817	0.05137646852533754	0.02191828862002455
APOE	0.28106767794632437	0.11070595099183198	0.025371357083162308	0.02319136522753792	0.39162777129521587	0.05265460910151692	0.01575262543757293	0.01779463243873979	0.4092765460910152	0.05659276546091015	0.009043173862310384	0.0	0.12135355892648775	0.03938156359393232	0.05688448074679113	0.011960326721120185	0.396732788798133	0.03879813302217036	0.008897316219369894	0.0018961493582263708	0.6290840140023337	0.1146441073512252	0.014002333722287047	0.03077596266044341	0.12762543757292882	0.02289964994165694	0.13170945157526254	0.01998249708284714	0.5599474912485414	0.01721120186697783	0.03792298716452742	0.01750291715285881	1.0	0.01983663943990665	0.024941656942823805	0.04842473745624271	0.6446907817969662	0.20055425904317387	0.0002917152858809801	0.043757292882147025
APOH	0.8425060574593284	0.24506749740394596	0.28348909657320864	0.2422983731394946	0.4074074074074074	0.10418830044998267	0.2024922118380062	0.37244721356870886	0.19660782277604705	0.07372793354101764	0.1481481481481481	0.2779508480443059	0.64312911041883	0.30944963655244023	0.16233991000346137	0.3239875389408099	1.0	0.12876427829698855	0.23676012461059184	0.4198684665974385	0.8736587054344064	0.1578400830737279	0.032537210107303566	0.0	0.6618206992038768	0.17307026652821042	0.1692627206645898	0.0827275874004846	0.37937002422983723	0.2409138110072689	0.2506057459328487	0.1955694011768778	0.4333679473866389	0.1308411214953271	0.2440290758047767	0.39148494288681196	0.6164762893734856	0.8418137763932156	0.2194530979577708	0.13326410522672202
ASPN	0.004602109300095874	0.04832214765100671	0.05311601150527325	1.0	0.010354745925215722	0.06653883029721956	0.1261744966442953	0.5006711409395973	0.0738255033557047	0.07881112176414189	0.0548418024928092	0.49760306807286675	0.02933844678811122	0.027612655800575262	0.16145733461169703	0.4030680728667306	0.05215723873441994	0.014189837008628952	0.08590604026845637	0.7712368168744007	0.10335570469798659	0.0011505273250239686	0.06078619367209971	0.20728667305848517	0.0	0.013806327900287631	0.017066155321188877	0.187535953978907	0.06270373921380633	0.014956855225311603	0.04582933844678812	0.496836049856184	0.12138063279002875	0.04563758389261745	0.16567593480345158	0.874784276126558	0.0728667305848514	0.005752636625119847	0.20345158197507193	0.23470757430488973
