IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
141	0.6275239744596102	0.9669491897399503	-20.406923520309306	0
165	0.560869086114862	0.9669491897399503	-22.99000000000001	0
21	0.8708197497176643	0.9669491897399503	-7.259999999999991	0
196	0.8496526721933948	0.9669491897399503	-8.239999999999995	0
47	0.3898135417028292	0.9669491897399503	20.840000000000003	0
103	0.3393636310168052	0.9669491897399503	-42.915448932081205	0
183	0.8924660816097466	0.9669491897399503	-8.019999999999996	0
153	0.5593113349120304	0.9669491897399503	44.2986445504672	0
97	0.7479200617852828	0.9669491897399503	-13.659999999999997	0
147	0.7008500478021347	0.9669491897399503	17.78	0
91	0.8965407815838169	0.9669491897399503	5.4850730935793734	0
78	0.22511913807614228	0.9669491897399503	-37.269999999999996	0
144	0.026695414906373754	0.9087383043076402	34.25	0
125	0.4782233318234571	0.9669491897399503	44.80999999999999	0
32	0.8363632628209835	0.9669491897399503	3.730000000000004	0
25	0.6194383101939089	0.9669491897399503	-14.590000000000003	0
173	0.16161596361499384	0.9669491897399503	-61.41000000000001	0
159	0.0957019995057259	0.9669491897399503	58.879999999999995	0
66	0.591646165556579	0.9669491897399503	14.370000000000005	0
24	0.060367309980154146	0.9669491897399503	79.16	0
98	0.8089508097917841	0.9669491897399503	-10.689999999999984	0
191	0.9083462085435897	0.9669491897399503	-10.502307911744438	0
48	0.5208317740007775	0.9669491897399503	30.180000000000007	0
11	0.37549544379144784	0.9669491897399503	46.973069291625706	0
172	0.42014446355425816	0.9669491897399503	24.450000000000003	0
189	0.5924542136519715	0.9669491897399503	-21.519999999999996	0
62	0.6595506108349738	0.9669491897399503	-17.480000000000004	0
65	0.3262084926611164	0.9669491897399503	-39.249999999999986	0
131	0.6116552549090377	0.9669491897399503	-23.120000000000005	0
77	0.14440588025025114	0.9669491897399503	-36.66	0
140	0.23835056703130886	0.9669491897399503	-51.269999999999996	0
111	0.38978262298643107	0.9669491897399503	-36.42	0
190	0.4140528450235128	0.9669491897399503	34.69	0
33	0.8681615386606113	0.9669491897399503	6.819999999999993	0
176	0.7426743929432069	0.9669491897399503	-6.3700000000000045	0
42	0.994443133520069	0.9997416850958537	-0.1599999999999966	0
2	0.2195306966677015	0.9669491897399503	-38.510000000000005	0
