uniprotid_A,uniprotid_B
Q9VF03,Q9VH07
Q9VYX1,Q9U5W9
Q9VYX1,Q8I8U7
Q9VYX1,O76216
Q9VYX1,Q8I8V0
O76216,Q8I8U7
O76216,Q9U5W9
O76216,Q9VYX1
O76216,Q8I8V0
Q9VYX1,Q7JXF5
O76216,Q7JXF5
Q9VYX1,Q9U3V9
Q9VYX1,Q9U3V9
Q9U3V9,Q7JXF5
Q9VYX1,Q7JXF5
O76216,Q7JXF5
Q7JXF5,Q8I8V0
Q9VYX1,Q9U3V9
Q7JXF5,Q9U3V9
Q9VYX1,Q9U3V9
Q9VYX1,O76216
Q9U3V9,Q9VYX1
Q9VVR6,Q9VVR1
Q9VVR1,O76216
Q9VVR1,Q8I8U9
Q9VVR6,O76216
Q9VVR6,Q8I8V0
O15968,Q7JQ39
O15968,Q95SI0
Q9NHX6,Q95RU8
Q9NHX6,Q94517
Q9NHX6,Q95RU8
Q9NHX6,Q94517
P40417,Q9U1H0
Q9U1H0,P40417
Q9U1H0,P40417
Q9VT57,P25008
Q9VW47,P25008
Q7KTX8,P25008
Q7KTX8,Q9VT57
Q9VT57,Q9VW47
P25008,Q9VW47
Q7KTX8,P25008
Q9VT57,P25008
O96782,Q9XYR0
Q9XYR0,O96782
P91666,O77430
Q24311,O77430
P91666,O77430
P91666,Q24311
P91666,Q24311
Q24311,O77430
P04412,O18335
O18335,P42519
P20350,O76742
O61735,O61734
O97159,Q0E8J0
Q0E8J0,O97159
Q0E8J0,O97159
O97159,Q0E8J0
O97159,Q0E8J0
O97159,Q0E8J0
O97159,Q0E8J0
O97159,Q94517
O97159,Q9VCK0
Q9VCK0,Q94517
Q9VCK0,O97159
Q94517,O97159
Q94517,Q9VCK0
O97159,Q9VCK0
O97159,Q94517
O97159,Q0E8J0
P31007-1,Q9VE13
P31007-1,Q9VE13
Q9VE13,P31007-1
Q9VE13,P31007-1
P31007-1,Q9VE13
Q9VE13,P31007-1
P31007-1,Q9VE13
P31007-1,Q9VE13
P31007-1,Q9VE13
P31007-1,Q9VE13
P31007-1,Q9VE13
Q9NHP2,Q7K2L7
Q9NHP2,Q9VB05
Q9VB05,Q9VBM1
Q7K2L7,Q9VB05
Q9NHP2,Q9VB05
Q9NHP2,Q9VB05
Q9NHP2,Q7K2L7
Q24496,P40417
Q24496,P40417
Q24496,Q24496
P29327,Q24496
Q9VS51,Q9VND8
Q9VS51,Q9VND8
Q9VND8,Q9VS51
O01368,P18824
O01368,P18824
O01368,P18824
P29503,P18168
O76742,Q9NBW1
P29742,P16568
P29742,P16568
P29742,P17210
P29742,Q94524
P29742,P16568
P29742,P16568
P16568,P29742
P29742,P91926
Q06453,Q9VD99
Q7JWP6,Q95RV2
Q7JWP6,P05205
Q95RV2,P05205
Q95RV2,Q7JWP6
Q95RV2,P05205
Q95RV2,Q7JWP6
Q95RV2,P05205
Q7JWP6,P05205
Q7JWP6,Q95RV2
Q7JWP6,Q95RV2
Q7JWP6,Q95RV2
Q95RV2,Q7JWP6
Q9W0A0,Q9VYV3
Q9W0A0,Q9VYV3
Q9VYV3,Q9W0A0
O76922,P25823
Q7PLK0,P25823
P25823,O76922
O76922,Q7PLK0
O76922,P25823
P25823,Q7PLK0
P25823,O76922
O76922,P25823
Q7PLK0,O76922
Q7PLK0,P25823
P25823,O76922
P25823,Q7PLK0
Q7PLK0,O76922
Q7PLK0,P25823
O76922,P25823
Q9NBK5,Q9V719
P12370,Q9VT65
P12370,Q9VT65
P40417-2,Q9VT65
Q9VT65,P40417
Q9VT65,Q9VT65
Q9XYM0,Q9VCH4
Q9XYM0,Q9VCH4
Q9VCH4,Q9XYM0
Q9VJ12,Q9V431
Q961C4,Q961C4
Q9VKB2,Q9VCH4
Q9VKB2,Q9VCH4
Q9VKB2,Q9VCH4
Q9VKB2,Q9VCH4
Q9VCH4,Q9VKB2
Q9VCH4,Q9VKB2
Q9VXH6,Q8IR23
Q24478,Q8TA44
Q24478,Q8TA44
Q24478,Q8TA44
P02299,Q9VHA0
Q9VHA0,P02299
P02299,Q9VHA0
P02299,Q9VHA0
Q9VHA0,P84040
Q9VCY3,Q9VCY3
Q9VCY3,Q9VCY3
P16621,Q9VM93
Q9VM93,P16621
Q24478,P08970
Q24478,Q86B87
Q24478,Q95RQ8
Q24478,Q9VP57
Q24478,Q9VHG6
Q24478,Q24147
Q24478,Q9VHG5
Q24478,O77460
Q24478,Q9VS55
Q9VHG5,Q24478
Q9VHG6,Q24478
Q24478,Q9VHG6
Q9VHG5,Q24478
Q7K8Y3,P09958
Q8N3R9,P10040
EBI-7927525,Q62165
Q13363,P28166
P00546,Q24159
Q24152,P00546
P00546,Q24158
Q24152,Q00526
P91654,Q00526
Q00526,Q24158
P11802,Q24158
P06493,Q24152
P62999,Q9VF87
P60706,Q9VF87
P62999,Q9VF87
Q9JLB2,O97111
Q9JLB2,O97111
Q9JLB2,O97111
Q9UPQ9,P21187
Q8NDV7,P21187
P21187,Q9UPQ9
Q9HCJ0,P21187
Q9UPQ9,P21187
P21187,Q9UPQ9
Q9UPQ9,P21187
Q9UPQ9,P21187
Q01705,P28159
Q96K30,P28159
P32121,P40417
P40417,P32121
P32121,P40417
P40417,P32121
P53165,P02283
P53165,P02299
P02283,O15265
O15265,P02299
O15265,P02283
P06748,Q9V3D6
Q9D0P5,Q9W0N9
Q9D0P5,Q961D9
Q9D0P5,Q9W0N9
Q9D0P5,Q9W0N9
P28159,P0C7T5
P28159,Q9Y618
P28159,P54253
Q94545,Q6TEM7
Q5LJZ2,Q6TEM7
P84243,Q9VK33
Q9VK33,P84243
P84243,Q9VK33
P62805,Q9VK33
P62805,Q9VK33
P62805,Q9VK33
P62805,Q9VK33
P62805,Q9VK33
P62805,Q9VK33
P62805,Q9VK33
P84243,Q9VK33
Q9VK33,P62805
P84243,Q9VK33
Q9VK33,P84243
P84243,Q9VK33
P84243,Q9VK33
P84243,Q9VK33
Q9VK33,P84243
Q9VK33,P84243
Q9VK33,P84243
Q9VK33,P84243
P84243,Q9VK33
Q9VK33,P84243
P10807,P10807
P10807,P10807
Q9W157,Q96DB6
Q9W157,Q06609
Q9W157,Q9NTI5
Q9W157,Q9BXW9
P67775,Q86B55
P01019,Q10714
P01021,Q10714
Q10714,P01042
P01042,Q10714
P01019,Q10714
P21187,Q9HCJ0
P21187,Q9HCJ0
Q9HCJ0,P21187
Q9HCJ0,P21187
Q15836,Q9VI20
Q06003,Q15075
Q15075,Q9VI20
Q9VI20,Q15836
Q15075,Q06003
Q9VI20,Q15075
P52293,B4LTG5
B4LTG5,P52293
P52293,B4LTG5
B4LTG5,P52293
P52293,B4LTG5
B4LTG5,P52293
P62157,P40421
P62157,P10676-1
P62157,P19107
P62157,P10676-2
P49951,P19107
P50580,P19339
P19339,Q9CW46
O54748,Q95RA8
A1Z6E0,P83940
O46036,P03255
P47825,P03255
P03255,P47825
P47825,P03255
Q7JQ39,O35253
Q95SI0,O35253
O35253,A1Z7L9
Q9NHX6,Q96KQ7
Q9NHX6,Q96KQ7
Q9U1H0,P28482
Q9U1H0,P28482
P0CG48,Q8IMZ4
Q05513,P16554
P16554,P17252
P16554,Q05513
EBI-6982591,P31007-1
EBI-6982714,Q9VE13
EBI-6982591,Q9VE13
P20689,P62152
P51123,P13393
P28159,P20226
P28159,P20226
P18824,Q92793
Q9VT65,P11137
P31483,Q9VV48
Q9LJL3,P14954
P62805,Q9VK33
Q9VK33,P62805
Q9VXH6,P20936
TEST1D,TEST2D
